anio,sexo,mes,sum
2015,Hombre              ,1,43043
2015,Hombre              ,2,42399
2015,Hombre              ,3,46757
2015,Hombre              ,4,43503
2015,Hombre              ,5,46817
2015,Hombre              ,6,45269
2015,Hombre              ,7,44904
2015,Hombre              ,8,46433
2015,Hombre              ,9,44821
2015,Hombre              ,10,48559
2015,Hombre              ,11,47634
2015,Hombre              ,12,47518
2015,Mujer               ,1,8077
2015,Mujer               ,2,8675
2015,Mujer               ,3,9190
2015,Mujer               ,4,8888
2015,Mujer               ,5,9617
2015,Mujer               ,6,9491
2015,Mujer               ,7,8228
2015,Mujer               ,8,8438
2015,Mujer               ,9,8876
2015,Mujer               ,10,9680
2015,Mujer               ,11,8907
2015,Mujer               ,12,8798
2016,Hombre              ,1,42068
2016,Hombre              ,2,42216
2016,Hombre              ,3,42553
2016,Hombre              ,4,42342
2016,Hombre              ,5,44110
2016,Hombre              ,6,40277
2016,Hombre              ,7,41867
2016,Hombre              ,8,40796
2016,Hombre              ,9,40502
2016,Hombre              ,10,43239
2016,Hombre              ,11,42574
2016,Hombre              ,12,45614
2016,Mujer               ,1,8721
2016,Mujer               ,2,8932
2016,Mujer               ,3,8506
2016,Mujer               ,4,8943
2016,Mujer               ,5,9029
2016,Mujer               ,6,8665
2016,Mujer               ,7,7730
2016,Mujer               ,8,8145
2016,Mujer               ,9,8419
2016,Mujer               ,10,9283
2016,Mujer               ,11,9177
2016,Mujer               ,12,8824
2017,Hombre              ,1,43184
2017,Hombre              ,2,41588
2017,Hombre              ,3,45133
2017,Hombre              ,4,40539
2017,Hombre              ,5,43429
2017,Hombre              ,6,42185
2017,Hombre              ,7,43406
2017,Hombre              ,8,44493
2017,Hombre              ,9,42828
2017,Hombre              ,10,46989
2017,Hombre              ,11,46856
2017,Hombre              ,12,47812
2017,Mujer               ,1,8646
2017,Mujer               ,2,9039
2017,Mujer               ,3,10017
2017,Mujer               ,4,7798
2017,Mujer               ,5,9023
2017,Mujer               ,6,9099
2017,Mujer               ,7,7917
2017,Mujer               ,8,9033
2017,Mujer               ,9,8797
2017,Mujer               ,10,10027
2017,Mujer               ,11,9890
2017,Mujer               ,12,8996
2018,Hombre              ,1,42848
2018,Hombre              ,2,41917
2018,Hombre              ,3,44945
2018,Hombre              ,4,42049
2018,Hombre              ,5,45053
2018,Hombre              ,6,43281
2018,Hombre              ,7,42091
2018,Hombre              ,8,43065
2018,Hombre              ,9,41936
2018,Hombre              ,10,43997
2018,Hombre              ,11,42746
2018,Hombre              ,12,46006
2018,Mujer               ,1,8676
2018,Mujer               ,2,8509
2018,Mujer               ,3,9184
2018,Mujer               ,4,8826
2018,Mujer               ,5,9667
2018,Mujer               ,6,9152
2018,Mujer               ,7,8165
2018,Mujer               ,8,8884
2018,Mujer               ,9,8735
2018,Mujer               ,10,9637
2018,Mujer               ,11,9166
2018,Mujer               ,12,9101
2019,Hombre              ,1,41530
2019,Hombre              ,2,41237
2019,Hombre              ,3,44931
2019,Hombre              ,4,40574
2019,Hombre              ,5,44071
2019,Hombre              ,6,43413
2019,Hombre              ,7,39785
2019,Hombre              ,8,42548
2019,Hombre              ,9,41310
2019,Hombre              ,10,44813
2019,Hombre              ,11,44323
2019,Hombre              ,12,45862
2019,Mujer               ,1,8676
2019,Mujer               ,2,9039
2019,Mujer               ,3,9770
2019,Mujer               ,4,8489
2019,Mujer               ,5,9718
2019,Mujer               ,6,8905
2019,Mujer               ,7,8505
2019,Mujer               ,8,8598
2019,Mujer               ,9,8679
2019,Mujer               ,10,10050
2019,Mujer               ,11,9615
2019,Mujer               ,12,9875
