anio,sexo,diasemana,sum
2015,Hombre              ,Domingo             ,72629
2015,Hombre              ,Jueves              ,76727
2015,Hombre              ,Lunes               ,74963
2015,Hombre              ,Martes              ,75193
2015,Hombre              ,Miércoles           ,74074
2015,Hombre              ,No especificado     ,3905
2015,Hombre              ,Sábado              ,86952
2015,Hombre              ,Viernes             ,83214
2015,Mujer               ,Domingo             ,10134
2015,Mujer               ,Jueves              ,16871
2015,Mujer               ,Lunes               ,15918
2015,Mujer               ,Martes              ,16705
2015,Mujer               ,Miércoles           ,16025
2015,Mujer               ,Sábado              ,13978
2015,Mujer               ,Viernes             ,17234
2016,Hombre              ,Domingo             ,68297
2016,Hombre              ,Jueves              ,69913
2016,Hombre              ,Lunes               ,71403
2016,Hombre              ,Martes              ,69003
2016,Hombre              ,Miércoles           ,67478
2016,Hombre              ,Sábado              ,81817
2016,Hombre              ,Viernes             ,80247
2016,Mujer               ,Domingo             ,9892
2016,Mujer               ,Jueves              ,16013
2016,Mujer               ,Lunes               ,15783
2016,Mujer               ,Martes              ,16171
2016,Mujer               ,Miércoles           ,16076
2016,Mujer               ,Sábado              ,13660
2016,Mujer               ,Viernes             ,16779
2017,Hombre              ,Domingo             ,71964
2017,Hombre              ,Jueves              ,71698
2017,Hombre              ,Lunes               ,73152
2017,Hombre              ,Martes              ,72411
2017,Hombre              ,Miércoles           ,73046
2017,Hombre              ,Sábado              ,84320
2017,Hombre              ,Viernes             ,81851
2017,Mujer               ,Domingo             ,10354
2017,Mujer               ,Jueves              ,16434
2017,Mujer               ,Lunes               ,16029
2017,Mujer               ,Martes              ,17155
2017,Mujer               ,Miércoles           ,16780
2017,Mujer               ,Sábado              ,13859
2017,Mujer               ,Viernes             ,17671
2018,Hombre              ,Domingo             ,68882
2018,Hombre              ,Jueves              ,71374
2018,Hombre              ,Lunes               ,74558
2018,Hombre              ,Martes              ,70635
2018,Hombre              ,Miércoles           ,70759
2018,Hombre              ,Sábado              ,82841
2018,Hombre              ,Viernes             ,80885
2018,Mujer               ,Domingo             ,10274
2018,Mujer               ,Jueves              ,16567
2018,Mujer               ,Lunes               ,16178
2018,Mujer               ,Martes              ,16655
2018,Mujer               ,Miércoles           ,16625
2018,Mujer               ,Sábado              ,14051
2018,Mujer               ,Viernes             ,17352
2019,Hombre              ,Domingo             ,69414
2019,Hombre              ,Jueves              ,70514
2019,Hombre              ,Martes              ,71169
2019,Hombre              ,Miercoles           ,69183
2019,Hombre              ,Sabado              ,81702
2019,Hombre              ,Viernes             ,79811
2019,Hombre              ,lunes               ,72604
2019,Mujer               ,Domingo             ,10880
2019,Mujer               ,Jueves              ,16656
2019,Mujer               ,Martes              ,17042
2019,Mujer               ,Miercoles           ,16199
2019,Mujer               ,Sabado              ,14651
2019,Mujer               ,Viernes             ,17890
2019,Mujer               ,lunes               ,16601
