anio,sexo,aliento_alcoholico,aliento
2015,Hombre              ,No                  ,197678
2015,Hombre              ,Sí                  ,20746
2015,Mujer               ,No                  ,42368
2015,Mujer               ,Sí                  ,1470
2016,Hombre              ,No                  ,188847
2016,Hombre              ,Sí                  ,17871
2016,Mujer               ,No                  ,42093
2016,Mujer               ,Sí                  ,1272
2017,Hombre              ,No                  ,202956
2017,Hombre              ,Sí                  ,15745
2017,Mujer               ,No                  ,43730
2017,Mujer               ,Sí                  ,1156
2018,Hombre              ,No                  ,204114
2018,Hombre              ,Sí                  ,14646
2018,Mujer               ,No                  ,45383
2018,Mujer               ,Sí                  ,1032
2019,Hombre              ,No                  ,195733
2019,Hombre              ,Sí                  ,16364
2019,Mujer               ,No                  ,44582
2019,Mujer               ,Sí                  ,1525
